"Topic","Type of topic","BL record ID","Type of resource","Content type","Material type","BNB number","Archival Resource Key","ISBN","Name","Dates associated with name","Type of name","Role","All names","Title","Variant titles","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of creation/publication","Edition","Physical description","Dewey classification","BL shelfmark","Genre","Languages","Notes","Provenance"
"Occupations","term","041-003204111","Item. Photographs","","","","ark:/81055/vdc_100026758446.0x00055e","","","","","","Ballard, James Graham, writer, 1930-2009, http://isni.org/isni/9842556, http://viaf.org/viaf/9842556 [portrait subject] ; Godwin, Fay, photographer, 1931-2005, http://isni.org/isni/0000 0001 0974 0206, http://viaf.org/viaf/0000 0001 0974 0206 [photographer]","J G Ballard [1976]. Photographer: Godwin, Fay","","","","","","","1976","","1 item ; Dimensions: 354 mm x 279 mm","","Visual Arts. Godwin Photo 3(4)","","","Inscription: Godwin's signature on mount. Handwritten in pencil on verso: J G Ballard. Genre: Portrait Photography. Close-up of Ballad with his face turned slightly to the left and is also from the left; he wears a shirt with rows of white polka dots and a leather jacket. Dry mounted on board with Godwin's signature, image size 272 x 181 mm",""
"Occupations","term","041-003204171","Item. Photographs","","","","ark:/81055/vdc_100026758446.0x00059a","","","","","","Ballard, James Graham, writer, 1930-2009, http://isni.org/isni/9842556, http://viaf.org/viaf/9842556 [portrait subject] ; Godwin, Fay, photographer, 1931-2005, http://isni.org/isni/0000 0001 0974 0206, http://viaf.org/viaf/0000 0001 0974 0206 [photographer]","J G Ballard 1984. Photographer: Godwin, Fay","","","","","","","1984","","1 item ; Dimensions: 279 mm x 355 mm","","Visual Arts. Godwin Photo 4(2)","","","Inscription: Inscribed in pencil on verso: 3/ 5960.5.26/ N/ 22/ I min Ad/ J G Ballard 84/ © Fay Godwin [signature]. Genre: Portrait Photography. Half length portrait of Ballard standing in front of a plain interior wall; he wears a striped shirt and leather jacket with the bottom button fastened. He has his hands in his trouser pockets and is turned slightly towards the left with his gaze avoiding the camera. Image size 275 x 182 mm",""
"Occupations","term","041-003204205","Item. Photographs","","","","ark:/81055/vdc_100026758446.0x0005bc","","","","","","Ballard, James Graham, writer, 1930-2009, http://isni.org/isni/9842556, http://viaf.org/viaf/9842556 [portrait subject] ; Godwin, Fay, photographer, 1931-2005, http://isni.org/isni/0000 0001 0974 0206, http://viaf.org/viaf/0000 0001 0974 0206 [photographer]","Portraits of J.G. Ballard: correspondence, contact sheets and prints. Photographer: Godwin, Fay","","","","","","","1976-1987","","1 item","","Visual Arts. Godwin Photo 5/11(1)","","","Genre: Portrait Photography. Correspondence 1977-87. Fourteen 35mm contact sheets from two sessions in 1976/7 (films 2744, 2745, 2746, 2747) and 1984 (films 5947, 5948, 5949, 5950, 5950A, 5959, 5959A, 5960, 5962, 5963). Fourteen loose 203 x 254 mm prints: 2744-3-14 (6 copies); 2744-6-31 (4 copies); 2746-2-34a; 5960-5-26; 5959-6-27 (2 copies). 59 loose 178 x 127 mm prints: 2744-2-10 (9 copies); 2744-3-14 (2 copies); 2744-3-17 (4 copies); 2744-4-24 (4 copies); 2744-5-27 (3 copies); 2744-6-31 (2 copies); 2746-2-35; 2746-3-26a (3 copies); 2747-1-35a (7 copies); 2747-3-22a (3 copies); 5947-7-35a; 5950-4-18a; 5950-6-28 (4 copies); 5959-7-33; 5959-6-27 (3 copies); 5959a-1-36; 5960-5-26 (2 copies); 5960-6-30 (4 copies); 5962-6-30; 5963-3-16",""
"Occupations","term","041-003204875","Item. Photographs","","","","ark:/81055/vdc_100026758446.0x00085a","","","","","","Ballard, James Graham, writer, 1930-2009, http://isni.org/isni/9842556, http://viaf.org/viaf/9842556 [portrait subject] ; Godwin, Fay, photographer, 1931-2005, http://isni.org/isni/0000 0001 0974 0206, http://viaf.org/viaf/0000 0001 0974 0206 [photographer]","Barbican Exhibition Print: J.G. Ballard, 1984. Photographer: Godwin, Fay","","","","","","","1984","","1 item ; Dimensions: 304 mm x 237 mm","","Visual Arts. Godwin Photo 6/2(43)","","","Genre: Portrait Photography. Half length portrait of Ballard standing in front of a plain interior wall; he wears a striped shirt and leather jacket with the bottom button fastened. He has his hands in his trouser pockets and is turned slightly towards the left with his gaze avoiding the camera. Mounted on card 303 x 405 mm, inscribed '043/ 5960-26' and '18'. Exhibited in Barbican Gallery, Room One, (Literary Portraits)",""
"Ono, Yōko","person","018677669","Monograph","Language material ; Text","Volume","","","","","","","","Paolozzi, Eduardo, 1924-2005 [person] ; Hockney, David, 1937- [person] ; Tavener, John, 1944-2013 [person] ; Blake, Peter, 1932- [person] ; Furnival, John, 1933- [person] ; Finch, Christopher [person] ; Logue, Christopher, 1926-2011 [person] ; Finlay, Ian Hamilton, 1925-2006 [person] ; Lennon, John, 1940-1980 [person] ; Ono, Yōko [person] ; Ballard, J. G. (James Graham), 1930-2009 [person] ; Robinson, David, 1936 Deapproximately 9- [person] ; Kosh, John [person] ; Clark, Ossie, 1942-1996 [person] ; Amaya, Mario, editor [person] ; Roaring Fork Press, publisher [organisation] ; Smith, Richard, 1931-2016, illustrator [person] ; Lucie-Smith, Edward [person] ; Instone, Michael [person]","Aspen 7 : British box in 15 sections ; (Spring-Summer [1969])","","","","United States of America","New York","Roaring Fork Press","1969","","1 box, 12 pieces, illustrations, 30 x 30 cm","","RF.2018.b.104","Periodical","English","'Aspen is published quarterly by Roaring Fork Press ... Phyllis Johnson, editor and publisher--Inside box cover ; 'Compiled and edited by Mario Amaya ; designed by John Cosh ; cover by Richard Smith'--Inside box cover ; Artist's periodical consisting of a box (numbered 'Section 1, Aspen number 7') and containing various other part numbered 2-14 ; Exhibited in 'Aspen Magazine 1965-1971', Whitechapel Art Gallery, 11 September 2012 - 3 March 2013 ; Subtitle: 'British Box in 15 sections'",""
"Painting, English--21st century","general term","014546503","Monograph","Language material ; Text","Volume","GBA983368","","9780955613401","Harper, Andy","","person","","Harper, Andy [person]","The ballad of Mistah Bones","","","","England","London","Frost & Reed Contemporary","2007","","24 pages, chielfly colour illustrations, 25 cm","759.2","YK.2009.b.5864","","English","",""
"Paolozzi, Eduardo, 1924-2005","person","018677669","Monograph","Language material ; Text","Volume","","","","","","","","Paolozzi, Eduardo, 1924-2005 [person] ; Hockney, David, 1937- [person] ; Tavener, John, 1944-2013 [person] ; Blake, Peter, 1932- [person] ; Furnival, John, 1933- [person] ; Finch, Christopher [person] ; Logue, Christopher, 1926-2011 [person] ; Finlay, Ian Hamilton, 1925-2006 [person] ; Lennon, John, 1940-1980 [person] ; Ono, Yōko [person] ; Ballard, J. G. (James Graham), 1930-2009 [person] ; Robinson, David, 1936 Deapproximately 9- [person] ; Kosh, John [person] ; Clark, Ossie, 1942-1996 [person] ; Amaya, Mario, editor [person] ; Roaring Fork Press, publisher [organisation] ; Smith, Richard, 1931-2016, illustrator [person] ; Lucie-Smith, Edward [person] ; Instone, Michael [person]","Aspen 7 : British box in 15 sections ; (Spring-Summer [1969])","","","","United States of America","New York","Roaring Fork Press","1969","","1 box, 12 pieces, illustrations, 30 x 30 cm","","RF.2018.b.104","Periodical","English","'Aspen is published quarterly by Roaring Fork Press ... Phyllis Johnson, editor and publisher--Inside box cover ; 'Compiled and edited by Mario Amaya ; designed by John Cosh ; cover by Richard Smith'--Inside box cover ; Artist's periodical consisting of a box (numbered 'Section 1, Aspen number 7') and containing various other part numbered 2-14 ; Exhibited in 'Aspen Magazine 1965-1971', Whitechapel Art Gallery, 11 September 2012 - 3 March 2013 ; Subtitle: 'British Box in 15 sections'",""
"Parricide--Fiction","general term","009376321","Monograph","Language material ; Text","Volume","GBA230549","","9780006548195","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","Running wild","","Modern classics","","England","London","Flamingo","2002","","105 pages, 22 cm","823.914","H.2002/1862","Fiction ; Suspense fiction","English","",""
"Photography, Artistic","general term","016867044","Monograph","Language material ; Still image ; Text","Volume","GBB4B5391","","9780992815707","Bollen, James H.","","person","photographer","Bollen, James H., photographer [person]","Jim's terrible city : J.G. Ballard and Shanghai","","","","England","","James H. Bollen","2014","First edition","96 pages, chiefly illustrations (black and white and colour), 24 cm","779.451132","LC.31.a.15175","Pictorial work","English","Limited edition of 1000 copies ; Title from cover",""
"Physicians--Africa--Fiction","general term","013454390","Monograph","Language material ; Text","Volume","GBA642031","","9780007227891","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","The day of creation","","","","England","London","Harper Perennial","2006","","287 pages, 20 cm","823.914","H.2006/4481","Fiction","English","Originally published: London: Gollancz, 1987",""
"Physicians--Fiction","general term","009379730","Monograph","Language material ; Text","Volume","GBA1Z1912","","9780007116867","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","The atrocity exhibition","","Flamingo modern classic","","England","London","Flamingo","2001","Revised, expanded, annotated edition","viii, 184 pages, 20 cm","823.914","H.2001/3204","Fiction","English","Previous edition: 1993",""
"Physicians--Fiction","general term","010078059","Monograph","Language material ; Text","Volume","GB8732026","","9780575041523","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","The day of creation","","","","England","London","Gollancz","1987","","256 pages, 24 cm","823.914","Nov.1987/2250","Fiction","English","",""
"Physicians--Fiction","general term","013618261","Monograph","Language material ; Text","Volume","GBA879907","","9780007116867","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","The atrocity exhibition","","","","England","London","Harper Perennial","2006","Expanded and annotated edition","viii, 184, 22 pages, 20 cm","823.914","H.2008/2665","Fiction","English","",""
"Political violence--Great Britain--Fiction","general term","008718766","Monograph","Language material ; Text","Volume","GBA368053","","9780002258487","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","Millennium people","","","","England","London","Flamingo","2003","","294 pages, 23 cm","823.914","Nov.2004/174","Fiction","English","",""
"Political violence--Great Britain--Fiction","general term","012872862","Monograph","Language material ; Text","Volume","GBA4X8125","","9780006551614","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","Millennium people","","","","England","London","HarperPerennial","2004","","304 pages, 20 cm","823.914","","Fiction","English","Originally published: London: Flamingo, 2003",""
"Psychological fiction, English--History and criticism","general term","016421208","Monograph","Language material ; Text","Volume","GBB5G7481","","9781472513038","Francis, Samuel","","person","author ; lecturer","Francis, Samuel, author ; lecturer [person]","The psychological fictions of J.G. Ballard","","Continuum literary studies series","","England","London","Continuum","2011","","202 pages, 24 cm","823.914","","","English","",""
"Psychological fiction, English--History and criticism","general term","018841974","Monograph","Language material ; Text","Online resource","GBB879538","","9781441182401","Francis, Samuel","","person","author ; lecturer","Francis, Samuel, author ; lecturer [person]","The psychological fictions of J.G. Ballard","","Continuum literary studies series","","England ; United Kingdom","London","Continuum","2011","","1 online resource (210 pages)","823.914","ELD.DS.278199","","English","",""
"Psychology in literature","general term","015830574","Monograph","Language material ; Text","Volume","GBB175330","","9781441161956","Francis, Samuel T.","","person","","Francis, Samuel T. [person]","The psychological fictions of J.G. Ballard","","Continuum literary studies series","","England","London","Continuum","2011","","202 pages, 24 cm","823.914","YC.2011.a.17050","","English","",""
"Regression (Psychology)--Fiction","general term","017847370","Monograph","Language material ; Text","Online resource","GBB6F6382","","9780007382910","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","High-rise","","","","Australia","Sydney","Fourth Estate","2014","","1 online resource","823.914","ELD.DS.60012","Fiction","English","Fiction",""
"Retirees--Fiction","general term","016659399","Monograph","Language material ; Text","Volume","","","9781887178662","Ballard, J. G.","1930-2009","person","author","Ballard, J. G., 1930-2009, author [person]","Cocaine nights","","","","United States of America","Washington, District of Columbia","Counterpoint","1998","","328 pages, 23 cm","823.914","YD.2014.a.1219","Detective and mystery fiction","English","Originally published: London : HarperCollinsPublishers. 1996",""
"Retirees--Spain--Costa del Sol--Fiction","general term","008718236","Monograph","Language material ; Text","Volume","GB96X8951","","9780002241359","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","Cocaine nights","","","","England","London","Flamingo","1996","","328 pages, 23 cm","823.914","Nov.1997/400","","English","",""
"Riviera (France)--Fiction","geographical term","009379455","Monograph","Language material ; Text","Volume","GBA063200","","9780002258470 ; 9780007109289","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","Super-Cannes","","","","England","London","Flamingo","2000","","391 pages, 22 cm","823.914","H.2000/2470","Fiction","English","",""
"Robinson, Jamie","person","013086516","Monograph","Language material ; Text","Volume","GBA505321","","9781903781029","Robinson, Jamie","","person","","Shashou, Natalie [person] ; Ballard, J. G., 1930-2009 [person] ; Robinson, Jamie [person]","Pleasant lands","","","","England","London","Immprint","2005","","196 pages, illustrations, 31 cm","779.092","","","English","",""
"Sahara--Fiction","geographical term","010078059","Monograph","Language material ; Text","Volume","GB8732026","","9780575041523","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","The day of creation","","","","England","London","Gollancz","1987","","256 pages, 24 cm","823.914","Nov.1987/2250","Fiction","English","",""
"Science fiction","general term","008110984","Monograph","Language material ; Text","Volume","GB6911830","","9780850310054","Peake, Mervyn","1911-1968","person","","Ballard, J. G., 1930-2009 [person] ; Aldiss, Brian W. (Brian Wilson), 1925-2017 [person] ; Peake, Mervyn, 1911-1968 [person]","The inner landscape","","","","England","London","Allison & Busby","1969","","151 pages","823.91","YA.1996.a.1507","","English","Originally published (B56-16737) in 'Sometime never'. London: Eyre & Spottiswoode, 1956",""
